节点ID,姓名,性别,年龄,身份,角色定位,阵营,首次登场
MQ,明锜,男,28,天眼持有者·科学家兼修真者,主角·团队领袖·358证道传道医·28岁觉醒34岁结丹40岁元婴,主角,S1·天眼初开
WLS,王老师（佛陀罗尼）,男,,文化大纲·言出法随·身心性法四句偈,序章第一位导师·授地图与语言,导师金三角,序章
LGD,卢国东（卢先生）,男,,慈海科技创始人·以格正心·科技修仙,序章第五位引路人·授科技验证,导师金三角,序章
QFLR,千峰老人（赵避尘）,男,1860-1942,龙门派第十一代传人·以武入道,序章第四位引路人·授命功筑基,导师金三角,序章
ZLS,张老师,男,,密勒日巴虹光传承·濒死体验研究,序章引路人·授实证次第,引路人,序章
YG,元光大师,男,70,肉眼通修行者·前北大物理系,团队唯一不碰仪器的人·肉眼通观测ANU,引路人,S1·天眼初开
CS,陈熵,男,28,材料学博士（室温超导）,核心成员·材料,核心团队,S1·天眼初开
XY,萧衍,女,26,量子物理博士后,核心成员·量子·AHCS核心,核心团队,S1·天眼初开
WG,魏工,男,43,前国家电网首席工程师,核心成员·电力·闭合磁路,核心团队,S1·天眼初开
LY,洛言,女,35,前商务部政策研究员,核心成员·政策·开放标准,核心团队,S1·天眼初开
AB,阿丙,男,24,机械神童/网红maker,核心成员·机械·量天尺持有者·明锜弟子,核心团队,S1·天眼初开
JC,静慈,女,35,中医世家出身的天才中医医师,核心成员·金丹炼金/归零钵·明锜元婴出关后结发的妻子,核心团队,S1·天眼初开
SJ,苏晶,女,31,晶体学家·前苏黎世ETH研究员,后加入·晶体学·数学路径（230空间群）,后加入成员,S2·从晶格到ANU
WH,卫衡,男,38,"磁材料物理学家·前中科院（""卫熔断""）",后加入·磁饱和SEG·暗能量/零点能,后加入成员,S3·零点能时代
WL,温灵,女,29,声学振动工程师·Keely体系研究者,后加入·369同情振动·AHCS声学,后加入成员,S3·零点能时代
FZ,方总,男,,投资人/老板,投资方·组队·给钱给政策,投资方,S1·天眼初开
ANK,安妮卡,女,,昴宿二代表,星际引导者·频率导航·建交,星际（昴宿星）,S4·AHCS觉醒
